# Speedup factor over a single process. columns=1024
# Rows        p=1      p=2      p=4      p=8     p=16
32          1.000    1.048    0.907    0.625    0.368
128         1.000    1.038    0.981    0.789    0.447
512         1.000    1.739    2.081    1.543    1.067
2048        1.000    1.756    2.415    2.188    1.743
8192        1.000    1.942    3.220    3.091    2.703
32768       1.000    1.888    3.310    2.848    2.539
131072      1.000    2.079    3.276    3.199    2.720
