# Speedup factor over a single process. columns=65536
# Rows        p=1      p=2      p=4      p=8     p=16
32          1.000    1.793    2.754    2.672    2.107
64          1.000    1.853    2.964    2.991    2.534
128         1.000    1.869    3.034    2.963    2.750
256         1.000    1.836    3.045    3.169    2.927
512         1.000    1.849    3.018    3.127    2.976
1024        1.000    1.628    2.604    3.034    3.016
2048        1.000    1.800    2.920    3.035    3.082
4096        1.000    1.709    2.574    2.994    2.857
