# Repeat insert count was 1000.
# Python 3.8
#-------------------------------------------------------------------------------------------------------------- benchmark: 8 tests -------------------------------------------------------------------------------------------------------------
#Name (time in us)                                         Min                     Max                    Mean                 StdDev                  Median                    IQR            Outliers       OPS            Rounds  Iterations
#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#test_ihr_float_threaded[Len_1e6_Threads_001]         970.5110 (1.0)        2,484.7230 (1.0)        1,063.7480 (1.0)         127.2043 (1.0)        1,026.5550 (1.0)          70.4500 (1.0)         45;53  940.0723 (1.0)         593           1
#test_ihr_float_threaded[Len_1e6_Threads_002]       1,609.2420 (1.66)       5,750.4600 (2.31)       1,858.9112 (1.75)        576.2754 (4.53)       1,707.8840 (1.66)        104.5052 (1.48)        27;49  537.9493 (0.57)        545           1
#test_ihr_float_threaded[Len_1e6_Threads_004]       3,834.5840 (3.95)      11,528.8380 (4.64)       4,311.8180 (4.05)      1,318.3277 (10.36)      3,988.0550 (3.88)        137.9613 (1.96)        11;22  231.9207 (0.25)        221           1
#test_ihr_float_threaded[Len_1e6_Threads_008]       7,464.3660 (7.69)      18,683.7800 (7.52)       8,392.6712 (7.89)      2,107.9916 (16.57)      7,745.7390 (7.55)        356.7772 (5.06)         9;15  119.1516 (0.13)        115           1
#test_ihr_float_threaded[Len_1e6_Threads_016]      12,435.3660 (12.81)     22,550.3720 (9.08)      13,413.2494 (12.61)     1,679.0029 (13.20)     13,002.7285 (12.67)       475.9325 (6.76)          4;8   74.5532 (0.08)         76           1
#test_ihr_float_threaded[Len_1e6_Threads_032]      30,126.9710 (31.04)     72,211.5100 (29.06)     38,836.9421 (36.51)    11,735.6183 (92.26)     34,157.3490 (33.27)    13,096.4660 (185.90)        2;1   25.7487 (0.03)         14           1
#test_ihr_float_threaded[Len_1e6_Threads_064]      79,179.4810 (81.59)     88,225.0660 (35.51)     81,961.2777 (77.05)     3,186.5738 (25.05)     81,336.4680 (79.23)     3,439.2358 (48.82)         2;1   12.2009 (0.01)         13           1
#test_ihr_float_threaded[Len_1e6_Threads_128]     140,077.0210 (144.33)   149,497.7300 (60.17)    142,973.0806 (134.41)    2,950.3348 (23.19)    142,946.0550 (139.25)    2,515.2390 (35.70)         1;1    6.9943 (0.01)          8           1
#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Generated histogram: /Users/engun/CLionProjects/skiplist/benchmark_20230901_110203.svg
#
# So divide minimum time by 1000 (repeat insert count) and number of threads

# Threads   Time per insert/at/remove * threads * 1000
1   970.5110        # (us) 970.5110 / (1000 * 1)
2   1609.2420       # (us) 1,609.2420 / (1000 * 2)
4   3834.5840       # (us) 3,834.5840 / (1000 * 4)
8   7464.3660       # (us) 7,464.3660 / (1000 * 8)
16  12435.3660      # (us) 12,435.3660 / (1000 * 16)
32  30126.9710      # (us) 30,126.9710 / (1000 * 32)
64  79179.4810      # (us) 79,179.4810 / (1000 * 64)
128 140077.0210     # (us) 140,077.0210 / (1000 * 64)
